variant,n_runs,n_time_valid,n_score_valid,n_strict_valid,n_repeat_valid,time_corr,time_spearman,time_mae,time_dir_acc,time_band_acc,repeat_corr,repeat_spearman,repeat_mae,score_corr,score_mae,tie_gate_threshold,tie_shrink_power,tie_margin_weight_alpha,min_anchor_quality,anchor_outlier_mad_scale,anchor_outlier_min_delta,combo_index
O1,124,120,0,0,0,-0.010003,-0.015571,1.361837,0.833333,,,,,,,0.55,0.65,0.55,0.35,2.5,0.3,69
O2,124,120,124,120,25,0.181731,0.184957,1.449951,0.841667,0.475,0.730528,0.784615,2.045716,0.88334,0.2593,0.55,0.65,0.55,0.35,2.5,0.3,69
O3,122,120,122,120,25,0.186074,0.209702,1.476179,0.875,0.458333,0.748977,0.75,1.823466,0.948474,0.235321,0.55,0.65,0.55,0.35,2.5,0.3,69
ALL,498,481,374,361,75,0.308119,0.431118,1.161162,0.85,0.612188,0.79246,0.742972,1.389528,0.889033,0.280959,0.55,0.65,0.55,0.35,2.5,0.35,70
O0,128,121,128,121,25,,,0.362375,,1.0,,,0.299402,,0.345439,0.55,0.65,0.55,0.35,2.5,0.35,70
O1,124,120,0,0,0,-0.008539,-0.015571,1.362799,0.833333,,,,,,,0.55,0.65,0.55,0.35,2.5,0.35,70
O2,124,120,124,120,25,0.181731,0.184957,1.449951,0.841667,0.475,0.730528,0.784615,2.045716,0.88334,0.2593,0.55,0.65,0.55,0.35,2.5,0.35,70
O3,122,120,122,120,25,0.186074,0.209702,1.476179,0.875,0.458333,0.748977,0.75,1.823466,0.948474,0.235321,0.55,0.65,0.55,0.35,2.5,0.35,70
ALL,498,481,374,361,75,0.30744,0.429981,1.161604,0.85,0.612188,0.79246,0.742972,1.389528,0.889033,0.280959,0.55,0.65,0.55,0.35,3.5,0.3,71
O0,128,121,128,121,25,,,0.362375,,1.0,,,0.299402,,0.345439,0.55,0.65,0.55,0.35,3.5,0.3,71
O1,124,120,0,0,0,-0.011991,-0.022606,1.36457,0.833333,,,,,,,0.55,0.65,0.55,0.35,3.5,0.3,71
O2,124,120,124,120,25,0.181731,0.184957,1.449951,0.841667,0.475,0.730528,0.784615,2.045716,0.88334,0.2593,0.55,0.65,0.55,0.35,3.5,0.3,71
O3,122,120,122,120,25,0.186074,0.209702,1.476179,0.875,0.458333,0.748977,0.75,1.823466,0.948474,0.235321,0.55,0.65,0.55,0.35,3.5,0.3,71
ALL,498,481,374,361,75,0.307738,0.430099,1.161844,0.85,0.612188,0.79246,0.742972,1.389528,0.889033,0.280959,0.55,0.65,0.55,0.35,3.5,0.35,72
O0,128,121,128,121,25,,,0.362375,,1.0,,,0.299402,,0.345439,0.55,0.65,0.55,0.35,3.5,0.35,72
O1,124,120,0,0,0,-0.010526,-0.022606,1.365532,0.833333,,,,,,,0.55,0.65,0.55,0.35,3.5,0.35,72
O2,124,120,124,120,25,0.181731,0.184957,1.449951,0.841667,0.475,0.730528,0.784615,2.045716,0.88334,0.2593,0.55,0.65,0.55,0.35,3.5,0.35,72
O3,122,120,122,120,25,0.186074,0.209702,1.476179,0.875,0.458333,0.748977,0.75,1.823466,0.948474,0.235321,0.55,0.65,0.55,0.35,3.5,0.35,72
ALL,498,481,374,361,75,0.316765,0.43221,1.154458,0.85,0.614958,0.790915,0.725839,1.352973,0.905407,0.276725,0.55,1.25,0.1,0.25,2.5,0.3,73
O0,128,121,128,121,25,,,0.356291,,1.0,,,0.304933,,0.339799,0.55,1.25,0.1,0.25,2.5,0.3,73
O1,124,120,0,0,0,-0.013036,-0.013244,1.352937,0.833333,,,,,,,0.55,1.25,0.1,0.25,2.5,0.3,73
O2,124,120,124,120,25,0.202999,0.193138,1.448331,0.841667,0.475,0.731979,0.756154,1.990161,0.912677,0.250484,0.55,1.25,0.1,0.25,2.5,0.3,73
O3,122,120,122,120,25,0.187233,0.213154,1.466924,0.875,0.466667,0.742194,0.743846,1.763825,0.946129,0.237221,0.55,1.25,0.1,0.25,2.5,0.3,73
ALL,498,481,374,361,75,0.317043,0.43234,1.155121,0.85,0.614958,0.790915,0.725839,1.352973,0.905407,0.276725,0.55,1.25,0.1,0.25,2.5,0.35,74
O0,128,121,128,121,25,,,0.356291,,1.0,,,0.304933,,0.339799,0.55,1.25,0.1,0.25,2.5,0.35,74
O1,124,120,0,0,0,-0.011184,-0.013244,1.355594,0.833333,,,,,,,0.55,1.25,0.1,0.25,2.5,0.35,74
O2,124,120,124,120,25,0.202999,0.193138,1.448331,0.841667,0.475,0.731979,0.756154,1.990161,0.912677,0.250484,0.55,1.25,0.1,0.25,2.5,0.35,74
O3,122,120,122,120,25,0.187233,0.213154,1.466924,0.875,0.466667,0.742194,0.743846,1.763825,0.946129,0.237221,0.55,1.25,0.1,0.25,2.5,0.35,74
ALL,498,481,374,361,75,0.316626,0.431331,1.154737,0.85,0.614958,0.790915,0.725839,1.352973,0.905407,0.276725,0.55,1.25,0.1,0.25,3.5,0.3,75
O0,128,121,128,121,25,,,0.356291,,1.0,,,0.304933,,0.339799,0.55,1.25,0.1,0.25,3.5,0.3,75
O1,124,120,0,0,0,-0.013877,-0.019668,1.354055,0.833333,,,,,,,0.55,1.25,0.1,0.25,3.5,0.3,75
O2,124,120,124,120,25,0.202999,0.193138,1.448331,0.841667,0.475,0.731979,0.756154,1.990161,0.912677,0.250484,0.55,1.25,0.1,0.25,3.5,0.3,75
O3,122,120,122,120,25,0.187233,0.213154,1.466924,0.875,0.466667,0.742194,0.743846,1.763825,0.946129,0.237221,0.55,1.25,0.1,0.25,3.5,0.3,75
ALL,498,481,374,361,75,0.316904,0.431461,1.1554,0.85,0.614958,0.790915,0.725839,1.352973,0.905407,0.276725,0.55,1.25,0.1,0.25,3.5,0.35,76
O0,128,121,128,121,25,,,0.356291,,1.0,,,0.304933,,0.339799,0.55,1.25,0.1,0.25,3.5,0.35,76
O1,124,120,0,0,0,-0.012023,-0.019668,1.356712,0.833333,,,,,,,0.55,1.25,0.1,0.25,3.5,0.35,76
O2,124,120,124,120,25,0.202999,0.193138,1.448331,0.841667,0.475,0.731979,0.756154,1.990161,0.912677,0.250484,0.55,1.25,0.1,0.25,3.5,0.35,76
O3,122,120,122,120,25,0.187233,0.213154,1.466924,0.875,0.466667,0.742194,0.743846,1.763825,0.946129,0.237221,0.55,1.25,0.1,0.25,3.5,0.35,76
ALL,498,481,374,361,75,0.316501,0.431776,1.159221,0.85,0.614958,0.781145,0.723143,1.375945,0.906199,0.276527,0.55,1.25,0.1,0.3,2.5,0.3,77
O0,128,121,128,121,25,,,0.356836,,1.0,,,0.307569,,0.34009,0.55,1.25,0.1,0.3,2.5,0.3,77
O1,124,120,0,0,0,-0.010308,-0.010869,1.35767,0.833333,,,,,,,0.55,1.25,0.1,0.3,2.5,0.3,77
O2,124,120,124,120,25,0.205136,0.192423,1.456074,0.841667,0.475,0.721019,0.749231,2.02733,0.91357,0.249169,0.55,1.25,0.1,0.3,2.5,0.3,77
O3,122,120,122,120,25,0.186401,0.210577,1.472989,0.875,0.466667,0.732208,0.740769,1.792937,0.947999,0.237643,0.55,1.25,0.1,0.3,2.5,0.3,77
ALL,498,481,374,361,75,0.316768,0.431928,1.160089,0.85,0.614958,0.781145,0.723143,1.375945,0.906199,0.276527,0.55,1.25,0.1,0.3,2.5,0.35,78
O0,128,121,128,121,25,,,0.356836,,1.0,,,0.307569,,0.34009,0.55,1.25,0.1,0.3,2.5,0.35,78
O1,124,120,0,0,0,-0.008296,-0.010487,1.36115,0.833333,,,,,,,0.55,1.25,0.1,0.3,2.5,0.35,78
O2,124,120,124,120,25,0.205136,0.192423,1.456074,0.841667,0.475,0.721019,0.749231,2.02733,0.91357,0.249169,0.55,1.25,0.1,0.3,2.5,0.35,78
O3,122,120,122,120,25,0.186401,0.210577,1.472989,0.875,0.466667,0.732208,0.740769,1.792937,0.947999,0.237643,0.55,1.25,0.1,0.3,2.5,0.35,78
ALL,498,481,374,361,75,0.316362,0.430897,1.1595,0.85,0.614958,0.781145,0.723143,1.375945,0.906199,0.276527,0.55,1.25,0.1,0.3,3.5,0.3,79
O0,128,121,128,121,25,,,0.356836,,1.0,,,0.307569,,0.34009,0.55,1.25,0.1,0.3,3.5,0.3,79
O1,124,120,0,0,0,-0.011143,-0.017085,1.358788,0.833333,,,,,,,0.55,1.25,0.1,0.3,3.5,0.3,79
O2,124,120,124,120,25,0.205136,0.192423,1.456074,0.841667,0.475,0.721019,0.749231,2.02733,0.91357,0.249169,0.55,1.25,0.1,0.3,3.5,0.3,79
O3,122,120,122,120,25,0.186401,0.210577,1.472989,0.875,0.466667,0.732208,0.740769,1.792937,0.947999,0.237643,0.55,1.25,0.1,0.3,3.5,0.3,79
ALL,498,481,374,361,75,0.316629,0.431049,1.160368,0.85,0.614958,0.781145,0.723143,1.375945,0.906199,0.276527,0.55,1.25,0.1,0.3,3.5,0.35,80
O0,128,121,128,121,25,,,0.356836,,1.0,,,0.307569,,0.34009,0.55,1.25,0.1,0.3,3.5,0.35,80
O1,124,120,0,0,0,-0.009128,-0.016703,1.362268,0.833333,,,,,,,0.55,1.25,0.1,0.3,3.5,0.35,80
O2,124,120,124,120,25,0.205136,0.192423,1.456074,0.841667,0.475,0.721019,0.749231,2.02733,0.91357,0.249169,0.55,1.25,0.1,0.3,3.5,0.35,80
O3,122,120,122,120,25,0.186401,0.210577,1.472989,0.875,0.466667,0.732208,0.740769,1.792937,0.947999,0.237643,0.55,1.25,0.1,0.3,3.5,0.35,80
ALL,498,481,374,361,75,0.307334,0.4308,1.162982,0.85,0.609418,0.792196,0.738305,1.388388,0.889774,0.278809,0.55,1.25,0.1,0.35,2.5,0.3,81
O0,128,121,128,121,25,,,0.365972,,1.0,,,0.307987,,0.348727,0.55,1.25,0.1,0.35,2.5,0.3,81
O1,124,120,0,0,0,-0.009376,-0.013341,1.363219,0.833333,,,,,,,0.55,1.25,0.1,0.35,2.5,0.3,81
O2,124,120,124,120,25,0.180489,0.179387,1.451238,0.841667,0.475,0.730638,0.778462,2.03736,0.884811,0.254888,0.55,1.25,0.1,0.35,2.5,0.3,81
O3,122,120,122,120,25,0.18548,0.211695,1.47814,0.875,0.466667,0.749626,0.75,1.819818,0.950202,0.229766,0.55,1.25,0.1,0.35,2.5,0.3,81
ALL,498,481,374,361,75,0.307633,0.430919,1.163222,0.85,0.609418,0.792196,0.738305,1.388388,0.889774,0.278809,0.55,1.25,0.1,0.35,2.5,0.35,82
O0,128,121,128,121,25,,,0.365972,,1.0,,,0.307987,,0.348727,0.55,1.25,0.1,0.35,2.5,0.35,82
O1,124,120,0,0,0,-0.007911,-0.013341,1.36418,0.833333,,,,,,,0.55,1.25,0.1,0.35,2.5,0.35,82
O2,124,120,124,120,25,0.180489,0.179387,1.451238,0.841667,0.475,0.730638,0.778462,2.03736,0.884811,0.254888,0.55,1.25,0.1,0.35,2.5,0.35,82
O3,122,120,122,120,25,0.18548,0.211695,1.47814,0.875,0.466667,0.749626,0.75,1.819818,0.950202,0.229766,0.55,1.25,0.1,0.35,2.5,0.35,82
ALL,498,481,374,361,75,0.307196,0.429841,1.163261,0.85,0.609418,0.792196,0.738305,1.388388,0.889774,0.278809,0.55,1.25,0.1,0.35,3.5,0.3,83
O0,128,121,128,121,25,,,0.365972,,1.0,,,0.307987,,0.348727,0.55,1.25,0.1,0.35,3.5,0.3,83
O1,124,120,0,0,0,-0.010211,-0.019856,1.364337,0.833333,,,,,,,0.55,1.25,0.1,0.35,3.5,0.3,83
O2,124,120,124,120,25,0.180489,0.179387,1.451238,0.841667,0.475,0.730638,0.778462,2.03736,0.884811,0.254888,0.55,1.25,0.1,0.35,3.5,0.3,83
O3,122,120,122,120,25,0.18548,0.211695,1.47814,0.875,0.466667,0.749626,0.75,1.819818,0.950202,0.229766,0.55,1.25,0.1,0.35,3.5,0.3,83
ALL,498,481,374,361,75,0.307495,0.429959,1.163501,0.85,0.609418,0.792196,0.738305,1.388388,0.889774,0.278809,0.55,1.25,0.1,0.35,3.5,0.35,84
O0,128,121,128,121,25,,,0.365972,,1.0,,,0.307987,,0.348727,0.55,1.25,0.1,0.35,3.5,0.35,84
O1,124,120,0,0,0,-0.008745,-0.019856,1.365298,0.833333,,,,,,,0.55,1.25,0.1,0.35,3.5,0.35,84
O2,124,120,124,120,25,0.180489,0.179387,1.451238,0.841667,0.475,0.730638,0.778462,2.03736,0.884811,0.254888,0.55,1.25,0.1,0.35,3.5,0.35,84
O3,122,120,122,120,25,0.18548,0.211695,1.47814,0.875,0.466667,0.749626,0.75,1.819818,0.950202,0.229766,0.55,1.25,0.1,0.35,3.5,0.35,84
ALL,498,481,374,361,75,0.317491,0.433154,1.152038,0.85,0.614958,0.790916,0.725839,1.352974,0.904391,0.280252,0.55,1.25,0.55,0.25,2.5,0.3,85
O0,128,121,128,121,25,,,0.356059,,1.0,,,0.304933,,0.33958,0.55,1.25,0.55,0.25,2.5,0.3,85
O1,124,120,0,0,0,-0.01269,-0.012758,1.352349,0.833333,,,,,,,0.55,1.25,0.55,0.25,2.5,0.3,85
O2,124,120,124,120,25,0.204928,0.199535,1.443409,0.841667,0.475,0.731979,0.756154,1.990158,0.911169,0.256093,0.55,1.25,0.55,0.25,2.5,0.3,85
O3,122,120,122,120,25,0.188885,0.215154,1.462969,0.875,0.466667,0.742193,0.743846,1.763831,0.944533,0.242562,0.55,1.25,0.55,0.25,2.5,0.3,85
ALL,498,481,374,361,75,0.317769,0.433284,1.152701,0.85,0.614958,0.790916,0.725839,1.352974,0.904391,0.280252,0.55,1.25,0.55,0.25,2.5,0.35,86
O0,128,121,128,121,25,,,0.356059,,1.0,,,0.304933,,0.33958,0.55,1.25,0.55,0.25,2.5,0.35,86
O1,124,120,0,0,0,-0.010839,-0.012758,1.355006,0.833333,,,,,,,0.55,1.25,0.55,0.25,2.5,0.35,86
O2,124,120,124,120,25,0.204928,0.199535,1.443409,0.841667,0.475,0.731979,0.756154,1.990158,0.911169,0.256093,0.55,1.25,0.55,0.25,2.5,0.35,86
O3,122,120,122,120,25,0.188885,0.215154,1.462969,0.875,0.466667,0.742193,0.743846,1.763831,0.944533,0.242562,0.55,1.25,0.55,0.25,2.5,0.35,86
ALL,498,481,374,361,75,0.317355,0.432377,1.152312,0.85,0.614958,0.790916,0.725839,1.352974,0.904391,0.280252,0.55,1.25,0.55,0.25,3.5,0.3,87
O0,128,121,128,121,25,,,0.356059,,1.0,,,0.304933,,0.33958,0.55,1.25,0.55,0.25,3.5,0.3,87
O1,124,120,0,0,0,-0.013515,-0.017855,1.353445,0.833333,,,,,,,0.55,1.25,0.55,0.25,3.5,0.3,87
O2,124,120,124,120,25,0.204928,0.199535,1.443409,0.841667,0.475,0.731979,0.756154,1.990158,0.911169,0.256093,0.55,1.25,0.55,0.25,3.5,0.3,87
O3,122,120,122,120,25,0.188885,0.215154,1.462969,0.875,0.466667,0.742193,0.743846,1.763831,0.944533,0.242562,0.55,1.25,0.55,0.25,3.5,0.3,87
ALL,498,481,374,361,75,0.317633,0.432507,1.152975,0.85,0.614958,0.790916,0.725839,1.352974,0.904391,0.280252,0.55,1.25,0.55,0.25,3.5,0.35,88
O0,128,121,128,121,25,,,0.356059,,1.0,,,0.304933,,0.33958,0.55,1.25,0.55,0.25,3.5,0.35,88
O1,124,120,0,0,0,-0.011662,-0.017855,1.356102,0.833333,,,,,,,0.55,1.25,0.55,0.25,3.5,0.35,88
O2,124,120,124,120,25,0.204928,0.199535,1.443409,0.841667,0.475,0.731979,0.756154,1.990158,0.911169,0.256093,0.55,1.25,0.55,0.25,3.5,0.35,88
O3,122,120,122,120,25,0.188885,0.215154,1.462969,0.875,0.466667,0.742193,0.743846,1.763831,0.944533,0.242562,0.55,1.25,0.55,0.25,3.5,0.35,88
ALL,498,481,374,361,75,0.317225,0.432726,1.156799,0.85,0.614958,0.781145,0.723143,1.375945,0.905187,0.280053,0.55,1.25,0.55,0.3,2.5,0.3,89
O0,128,121,128,121,25,,,0.356604,,1.0,,,0.307569,,0.339871,0.55,1.25,0.55,0.3,2.5,0.3,89
O1,124,120,0,0,0,-0.009962,-0.010383,1.357074,0.833333,,,,,,,0.55,1.25,0.55,0.3,2.5,0.3,89
O2,124,120,124,120,25,0.207049,0.198917,1.451153,0.841667,0.475,0.721019,0.749231,2.02733,0.912088,0.254778,0.55,1.25,0.55,0.3,2.5,0.3,89
O3,122,120,122,120,25,0.188048,0.21239,1.469033,0.875,0.466667,0.732208,0.740769,1.792937,0.946409,0.242982,0.55,1.25,0.55,0.3,2.5,0.3,89
ALL,498,481,374,361,75,0.317491,0.432878,1.157667,0.85,0.614958,0.781145,0.723143,1.375945,0.905187,0.280053,0.55,1.25,0.55,0.3,2.5,0.35,90
O0,128,121,128,121,25,,,0.356604,,1.0,,,0.307569,,0.339871,0.55,1.25,0.55,0.3,2.5,0.35,90
O1,124,120,0,0,0,-0.007952,-0.010001,1.360554,0.833333,,,,,,,0.55,1.25,0.55,0.3,2.5,0.35,90
O2,124,120,124,120,25,0.207049,0.198917,1.451153,0.841667,0.475,0.721019,0.749231,2.02733,0.912088,0.254778,0.55,1.25,0.55,0.3,2.5,0.35,90
O3,122,120,122,120,25,0.188048,0.21239,1.469033,0.875,0.466667,0.732208,0.740769,1.792937,0.946409,0.242982,0.55,1.25,0.55,0.3,2.5,0.35,90
ALL,498,481,374,361,75,0.317089,0.431948,1.157073,0.85,0.614958,0.781145,0.723143,1.375945,0.905187,0.280053,0.55,1.25,0.55,0.3,3.5,0.3,91
O0,128,121,128,121,25,,,0.356604,,1.0,,,0.307569,,0.339871,0.55,1.25,0.55,0.3,3.5,0.3,91
O1,124,120,0,0,0,-0.010781,-0.015272,1.358171,0.833333,,,,,,,0.55,1.25,0.55,0.3,3.5,0.3,91
O2,124,120,124,120,25,0.207049,0.198917,1.451153,0.841667,0.475,0.721019,0.749231,2.02733,0.912088,0.254778,0.55,1.25,0.55,0.3,3.5,0.3,91
O3,122,120,122,120,25,0.188048,0.21239,1.469033,0.875,0.466667,0.732208,0.740769,1.792937,0.946409,0.242982,0.55,1.25,0.55,0.3,3.5,0.3,91
ALL,498,481,374,361,75,0.317355,0.432101,1.157941,0.85,0.614958,0.781145,0.723143,1.375945,0.905187,0.280053,0.55,1.25,0.55,0.3,3.5,0.35,92
O0,128,121,128,121,25,,,0.356604,,1.0,,,0.307569,,0.339871,0.55,1.25,0.55,0.3,3.5,0.35,92
O1,124,120,0,0,0,-0.008767,-0.01489,1.361651,0.833333,,,,,,,0.55,1.25,0.55,0.3,3.5,0.35,92
O2,124,120,124,120,25,0.207049,0.198917,1.451153,0.841667,0.475,0.721019,0.749231,2.02733,0.912088,0.254778,0.55,1.25,0.55,0.3,3.5,0.35,92
O3,122,120,122,120,25,0.188048,0.21239,1.469033,0.875,0.466667,0.732208,0.740769,1.792937,0.946409,0.242982,0.55,1.25,0.55,0.3,3.5,0.35,92
ALL,498,481,374,361,75,0.30806,0.431708,1.160522,0.85,0.609418,0.792196,0.738305,1.388388,0.888748,0.282332,0.55,1.25,0.55,0.35,2.5,0.3,93
O0,128,121,128,121,25,,,0.365732,,1.0,,,0.307987,,0.3485,0.55,1.25,0.55,0.35,2.5,0.3,93
O1,124,120,0,0,0,-0.009204,-0.013529,1.3625,0.833333,,,,,,,0.55,1.25,0.55,0.35,2.5,0.3,93
O2,124,120,124,120,25,0.182438,0.185527,1.446274,0.841667,0.475,0.730638,0.778462,2.03736,0.883331,0.260476,0.55,1.25,0.55,0.35,2.5,0.3,93
O3,122,120,122,120,25,0.187118,0.213508,1.474204,0.875,0.466667,0.749626,0.75,1.819818,0.948592,0.235125,0.55,1.25,0.55,0.35,2.5,0.3,93
ALL,498,481,374,361,75,0.308359,0.431827,1.160762,0.85,0.609418,0.792196,0.738305,1.388388,0.888748,0.282332,0.55,1.25,0.55,0.35,2.5,0.35,94
O0,128,121,128,121,25,,,0.365732,,1.0,,,0.307987,,0.3485,0.55,1.25,0.55,0.35,2.5,0.35,94
O1,124,120,0,0,0,-0.007738,-0.013529,1.363461,0.833333,,,,,,,0.55,1.25,0.55,0.35,2.5,0.35,94
O2,124,120,124,120,25,0.182438,0.185527,1.446274,0.841667,0.475,0.730638,0.778462,2.03736,0.883331,0.260476,0.55,1.25,0.55,0.35,2.5,0.35,94
O3,122,120,122,120,25,0.187118,0.213508,1.474204,0.875,0.466667,0.749626,0.75,1.819818,0.948592,0.235125,0.55,1.25,0.55,0.35,2.5,0.35,94
ALL,498,481,374,361,75,0.307924,0.43085,1.160796,0.85,0.609418,0.792196,0.738305,1.388388,0.888748,0.282332,0.55,1.25,0.55,0.35,3.5,0.3,95
O0,128,121,128,121,25,,,0.365732,,1.0,,,0.307987,,0.3485,0.55,1.25,0.55,0.35,3.5,0.3,95
O1,124,120,0,0,0,-0.010024,-0.018717,1.363597,0.833333,,,,,,,0.55,1.25,0.55,0.35,3.5,0.3,95
O2,124,120,124,120,25,0.182438,0.185527,1.446274,0.841667,0.475,0.730638,0.778462,2.03736,0.883331,0.260476,0.55,1.25,0.55,0.35,3.5,0.3,95
O3,122,120,122,120,25,0.187118,0.213508,1.474204,0.875,0.466667,0.749626,0.75,1.819818,0.948592,0.235125,0.55,1.25,0.55,0.35,3.5,0.3,95
ALL,498,481,374,361,75,0.308223,0.430968,1.161035,0.85,0.609418,0.792196,0.738305,1.388388,0.888748,0.282332,0.55,1.25,0.55,0.35,3.5,0.35,96
O0,128,121,128,121,25,,,0.365732,,1.0,,,0.307987,,0.3485,0.55,1.25,0.55,0.35,3.5,0.35,96
O1,124,120,0,0,0,-0.008557,-0.018717,1.364558,0.833333,,,,,,,0.55,1.25,0.55,0.35,3.5,0.35,96
O2,124,120,124,120,25,0.182438,0.185527,1.446274,0.841667,0.475,0.730638,0.778462,2.03736,0.883331,0.260476,0.55,1.25,0.55,0.35,3.5,0.35,96
O3,122,120,122,120,25,0.187118,0.213508,1.474204,0.875,0.466667,0.749626,0.75,1.819818,0.948592,0.235125,0.55,1.25,0.55,0.35,3.5,0.35,96
ALL,498,481,374,361,75,0.316562,0.431456,1.154827,0.85,0.617729,0.791556,0.729028,1.354983,0.905746,0.274559,0.6,0.65,0.1,0.25,2.5,0.3,97
O0,128,121,128,121,25,,,0.352443,,1.0,,,0.296346,,0.336293,0.6,0.65,0.1,0.25,2.5,0.3,97
O1,124,120,0,0,0,-0.014407,-0.015619,1.352464,0.833333,,,,,,,0.6,0.65,0.1,0.25,2.5,0.3,97
O2,124,120,124,120,25,0.20247,0.193562,1.452194,0.841667,0.475,0.73205,0.759231,1.999899,0.912787,0.248845,0.6,0.65,0.1,0.25,2.5,0.3,97
O3,122,120,122,120,25,0.186504,0.208452,1.468894,0.875,0.466667,0.742408,0.74,1.768704,0.946091,0.235924,0.6,0.65,0.1,0.25,2.5,0.3,97
ALL,498,481,374,361,75,0.31684,0.431607,1.155497,0.85,0.617729,0.791556,0.729028,1.354983,0.905746,0.274559,0.6,0.65,0.1,0.25,2.5,0.35,98
O0,128,121,128,121,25,,,0.352443,,1.0,,,0.296346,,0.336293,0.6,0.65,0.1,0.25,2.5,0.35,98
O1,124,120,0,0,0,-0.012549,-0.015265,1.35515,0.833333,,,,,,,0.6,0.65,0.1,0.25,2.5,0.35,98
O2,124,120,124,120,25,0.20247,0.193562,1.452194,0.841667,0.475,0.73205,0.759231,1.999899,0.912787,0.248845,0.6,0.65,0.1,0.25,2.5,0.35,98
O3,122,120,122,120,25,0.186504,0.208452,1.468894,0.875,0.466667,0.742408,0.74,1.768704,0.946091,0.235924,0.6,0.65,0.1,0.25,2.5,0.35,98
ALL,498,481,374,361,75,0.316176,0.430434,1.155512,0.85,0.617729,0.791556,0.729028,1.354983,0.905746,0.274559,0.6,0.65,0.1,0.25,3.5,0.3,99
O0,128,121,128,121,25,,,0.352443,,1.0,,,0.296346,,0.336293,0.6,0.65,0.1,0.25,3.5,0.3,99
O1,124,120,0,0,0,-0.016417,-0.023877,1.355212,0.833333,,,,,,,0.6,0.65,0.1,0.25,3.5,0.3,99
O2,124,120,124,120,25,0.20247,0.193562,1.452194,0.841667,0.475,0.73205,0.759231,1.999899,0.912787,0.248845,0.6,0.65,0.1,0.25,3.5,0.3,99
O3,122,120,122,120,25,0.186504,0.208452,1.468894,0.875,0.466667,0.742408,0.74,1.768704,0.946091,0.235924,0.6,0.65,0.1,0.25,3.5,0.3,99
ALL,498,481,374,361,75,0.316454,0.430585,1.156183,0.85,0.617729,0.791556,0.729028,1.354983,0.905746,0.274559,0.6,0.65,0.1,0.25,3.5,0.35,100
O0,128,121,128,121,25,,,0.352443,,1.0,,,0.296346,,0.336293,0.6,0.65,0.1,0.25,3.5,0.35,100
O1,124,120,0,0,0,-0.014555,-0.023522,1.357898,0.833333,,,,,,,0.6,0.65,0.1,0.25,3.5,0.35,100
O2,124,120,124,120,25,0.20247,0.193562,1.452194,0.841667,0.475,0.73205,0.759231,1.999899,0.912787,0.248845,0.6,0.65,0.1,0.25,3.5,0.35,100
O3,122,120,122,120,25,0.186504,0.208452,1.468894,0.875,0.466667,0.742408,0.74,1.768704,0.946091,0.235924,0.6,0.65,0.1,0.25,3.5,0.35,100
ALL,498,481,374,361,75,0.316239,0.431407,1.159434,0.85,0.617729,0.781683,0.727173,1.377728,0.906492,0.274893,0.6,0.65,0.1,0.3,2.5,0.3,101
O0,128,121,128,121,25,,,0.352988,,1.0,,,0.298984,,0.336565,0.6,0.65,0.1,0.3,2.5,0.3,101
O1,124,120,0,0,0,-0.011769,-0.011737,1.356715,0.833333,,,,,,,0.6,0.65,0.1,0.3,2.5,0.3,101
O2,124,120,124,120,25,0.204534,0.192847,1.45972,0.841667,0.475,0.721263,0.752308,2.036026,0.913598,0.247931,0.6,0.65,0.1,0.3,2.5,0.3,101
O3,122,120,122,120,25,0.185526,0.207806,1.475033,0.875,0.466667,0.731651,0.740769,1.798174,0.947866,0.237592,0.6,0.65,0.1,0.3,2.5,0.3,101
ALL,498,481,374,361,75,0.316506,0.431568,1.160317,0.85,0.617729,0.781683,0.727173,1.377728,0.906492,0.274893,0.6,0.65,0.1,0.3,2.5,0.35,102
O0,128,121,128,121,25,,,0.352988,,1.0,,,0.298984,,0.336565,0.6,0.65,0.1,0.3,2.5,0.35,102
O1,124,120,0,0,0,-0.009742,-0.011355,1.360254,0.833333,,,,,,,0.6,0.65,0.1,0.3,2.5,0.35,102
O2,124,120,124,120,25,0.204534,0.192847,1.45972,0.841667,0.475,0.721263,0.752308,2.036026,0.913598,0.247931,0.6,0.65,0.1,0.3,2.5,0.35,102
O3,122,120,122,120,25,0.185526,0.207806,1.475033,0.875,0.466667,0.731651,0.740769,1.798174,0.947866,0.237592,0.6,0.65,0.1,0.3,2.5,0.35,102
ALL,498,481,374,361,75,0.315855,0.430379,1.160119,0.85,0.617729,0.781683,0.727173,1.377728,0.906492,0.274893,0.6,0.65,0.1,0.3,3.5,0.3,103
O0,128,121,128,121,25,,,0.352988,,1.0,,,0.298984,,0.336565,0.6,0.65,0.1,0.3,3.5,0.3,103
O1,124,120,0,0,0,-0.013766,-0.019911,1.359462,0.833333,,,,,,,0.6,0.65,0.1,0.3,3.5,0.3,103
O2,124,120,124,120,25,0.204534,0.192847,1.45972,0.841667,0.475,0.721263,0.752308,2.036026,0.913598,0.247931,0.6,0.65,0.1,0.3,3.5,0.3,103
O3,122,120,122,120,25,0.185526,0.207806,1.475033,0.875,0.466667,0.731651,0.740769,1.798174,0.947866,0.237592,0.6,0.65,0.1,0.3,3.5,0.3,103
ALL,498,481,374,361,75,0.316122,0.43054,1.161002,0.85,0.617729,0.781683,0.727173,1.377728,0.906492,0.274893,0.6,0.65,0.1,0.3,3.5,0.35,104
