variant,n_runs,n_time_valid,n_score_valid,n_strict_valid,n_repeat_valid,time_corr,time_spearman,time_mae,time_dir_acc,time_band_acc,repeat_corr,repeat_spearman,repeat_mae,score_corr,score_mae,tie_gate_threshold,tie_shrink_power,tie_margin_weight_alpha,min_anchor_quality,anchor_outlier_mad_scale,anchor_outlier_min_delta,combo_index
ALL,498,481,374,361,75,0.317322,0.432387,1.154125,0.85,0.617729,0.791226,0.729028,1.355865,0.904731,0.278416,0.48,0.65,0.55,0.25,2.5,0.3,13
O0,128,121,128,121,25,,,0.35271,,1.0,,,0.296346,,0.336545,0.48,0.65,0.55,0.25,2.5,0.3,13
O1,124,120,0,0,0,-0.013564,-0.017668,1.357657,0.833333,,,,,,,0.48,0.65,0.55,0.25,2.5,0.3,13
O2,124,120,124,120,25,0.203957,0.199431,1.447486,0.841667,0.475,0.732051,0.759231,1.999896,0.911298,0.253838,0.48,0.65,0.55,0.25,2.5,0.3,13
O3,122,120,122,120,25,0.187983,0.210681,1.465324,0.875,0.466667,0.741262,0.74,1.771354,0.944489,0.242408,0.48,0.65,0.55,0.25,2.5,0.3,13
ALL,498,481,374,361,75,0.317348,0.432269,1.154496,0.85,0.617729,0.791226,0.729028,1.355865,0.904731,0.278416,0.48,0.65,0.55,0.25,2.5,0.35,14
O0,128,121,128,121,25,,,0.35271,,1.0,,,0.296346,,0.336545,0.48,0.65,0.55,0.25,2.5,0.35,14
O1,124,120,0,0,0,-0.012796,-0.018432,1.359144,0.833333,,,,,,,0.48,0.65,0.55,0.25,2.5,0.35,14
O2,124,120,124,120,25,0.203957,0.199431,1.447486,0.841667,0.475,0.732051,0.759231,1.999896,0.911298,0.253838,0.48,0.65,0.55,0.25,2.5,0.35,14
O3,122,120,122,120,25,0.187983,0.210681,1.465324,0.875,0.466667,0.741262,0.74,1.771354,0.944489,0.242408,0.48,0.65,0.55,0.25,2.5,0.35,14
ALL,498,481,374,361,75,0.316938,0.431467,1.154806,0.85,0.617729,0.791226,0.729028,1.355865,0.904731,0.278416,0.48,0.65,0.55,0.25,3.5,0.3,15
O0,128,121,128,121,25,,,0.35271,,1.0,,,0.296346,,0.336545,0.48,0.65,0.55,0.25,3.5,0.3,15
O1,124,120,0,0,0,-0.015563,-0.02471,1.36039,0.833333,,,,,,,0.48,0.65,0.55,0.25,3.5,0.3,15
O2,124,120,124,120,25,0.203957,0.199431,1.447486,0.841667,0.475,0.732051,0.759231,1.999896,0.911298,0.253838,0.48,0.65,0.55,0.25,3.5,0.3,15
O3,122,120,122,120,25,0.187983,0.210681,1.465324,0.875,0.466667,0.741262,0.74,1.771354,0.944489,0.242408,0.48,0.65,0.55,0.25,3.5,0.3,15
ALL,498,481,374,361,75,0.316964,0.431349,1.155177,0.85,0.617729,0.791226,0.729028,1.355865,0.904731,0.278416,0.48,0.65,0.55,0.25,3.5,0.35,16
O0,128,121,128,121,25,,,0.35271,,1.0,,,0.296346,,0.336545,0.48,0.65,0.55,0.25,3.5,0.35,16
O1,124,120,0,0,0,-0.014791,-0.025474,1.361877,0.833333,,,,,,,0.48,0.65,0.55,0.25,3.5,0.35,16
O2,124,120,124,120,25,0.203957,0.199431,1.447486,0.841667,0.475,0.732051,0.759231,1.999896,0.911298,0.253838,0.48,0.65,0.55,0.25,3.5,0.35,16
O3,122,120,122,120,25,0.187983,0.210681,1.465324,0.875,0.466667,0.741262,0.74,1.771354,0.944489,0.242408,0.48,0.65,0.55,0.25,3.5,0.35,16
ALL,498,481,374,361,75,0.317085,0.432221,1.158593,0.85,0.617729,0.781683,0.727173,1.377728,0.905474,0.278572,0.48,0.65,0.55,0.3,2.5,0.3,17
O0,128,121,128,121,25,,,0.353255,,1.0,,,0.298984,,0.336817,0.48,0.65,0.55,0.3,2.5,0.3,17
O1,124,120,0,0,0,-0.010928,-0.014584,1.361902,0.833333,,,,,,,0.48,0.65,0.55,0.3,2.5,0.3,17
O2,124,120,124,120,25,0.20601,0.198812,1.455013,0.841667,0.475,0.721263,0.752308,2.036026,0.912134,0.252923,0.48,0.65,0.55,0.3,2.5,0.3,17
O3,122,120,122,120,25,0.187315,0.209792,1.470912,0.875,0.466667,0.731651,0.740769,1.798174,0.94628,0.243533,0.48,0.65,0.55,0.3,2.5,0.3,17
ALL,498,481,374,361,75,0.317101,0.432118,1.159177,0.85,0.617729,0.781683,0.727173,1.377728,0.905474,0.278572,0.48,0.65,0.55,0.3,2.5,0.35,18
O0,128,121,128,121,25,,,0.353255,,1.0,,,0.298984,,0.336817,0.48,0.65,0.55,0.3,2.5,0.35,18
O1,124,120,0,0,0,-0.009984,-0.015321,1.364243,0.833333,,,,,,,0.48,0.65,0.55,0.3,2.5,0.35,18
O2,124,120,124,120,25,0.20601,0.198812,1.455013,0.841667,0.475,0.721263,0.752308,2.036026,0.912134,0.252923,0.48,0.65,0.55,0.3,2.5,0.35,18
O3,122,120,122,120,25,0.187315,0.209792,1.470912,0.875,0.466667,0.731651,0.740769,1.798174,0.94628,0.243533,0.48,0.65,0.55,0.3,2.5,0.35,18
ALL,498,481,374,361,75,0.316702,0.431294,1.159275,0.85,0.617729,0.781683,0.727173,1.377728,0.905474,0.278572,0.48,0.65,0.55,0.3,3.5,0.3,19
O0,128,121,128,121,25,,,0.353255,,1.0,,,0.298984,,0.336817,0.48,0.65,0.55,0.3,3.5,0.3,19
O1,124,120,0,0,0,-0.012914,-0.021543,1.364635,0.833333,,,,,,,0.48,0.65,0.55,0.3,3.5,0.3,19
O2,124,120,124,120,25,0.20601,0.198812,1.455013,0.841667,0.475,0.721263,0.752308,2.036026,0.912134,0.252923,0.48,0.65,0.55,0.3,3.5,0.3,19
O3,122,120,122,120,25,0.187315,0.209792,1.470912,0.875,0.466667,0.731651,0.740769,1.798174,0.94628,0.243533,0.48,0.65,0.55,0.3,3.5,0.3,19
ALL,498,481,374,361,75,0.316719,0.431192,1.159858,0.85,0.617729,0.781683,0.727173,1.377728,0.905474,0.278572,0.48,0.65,0.55,0.3,3.5,0.35,20
O0,128,121,128,121,25,,,0.353255,,1.0,,,0.298984,,0.336817,0.48,0.65,0.55,0.3,3.5,0.35,20
O1,124,120,0,0,0,-0.011965,-0.022279,1.366975,0.833333,,,,,,,0.48,0.65,0.55,0.3,3.5,0.35,20
O2,124,120,124,120,25,0.20601,0.198812,1.455013,0.841667,0.475,0.721263,0.752308,2.036026,0.912134,0.252923,0.48,0.65,0.55,0.3,3.5,0.35,20
O3,122,120,122,120,25,0.187315,0.209792,1.470912,0.875,0.466667,0.731651,0.740769,1.798174,0.94628,0.243533,0.48,0.65,0.55,0.3,3.5,0.35,20
ALL,498,481,374,361,75,0.307887,0.430946,1.162336,0.85,0.612188,0.79246,0.742972,1.389528,0.889039,0.280932,0.48,0.65,0.55,0.35,2.5,0.3,21
O0,128,121,128,121,25,,,0.362375,,1.0,,,0.299402,,0.345439,0.48,0.65,0.55,0.35,2.5,0.3,21
O1,124,120,0,0,0,-0.010193,-0.017855,1.36759,0.833333,,,,,,,0.48,0.65,0.55,0.35,2.5,0.3,21
O2,124,120,124,120,25,0.181555,0.185124,1.449939,0.841667,0.475,0.730528,0.784615,2.045716,0.88336,0.258879,0.48,0.65,0.55,0.35,2.5,0.3,21
O3,122,120,122,120,25,0.186233,0.209869,1.476107,0.875,0.458333,0.748977,0.75,1.823466,0.948471,0.235666,0.48,0.65,0.55,0.35,2.5,0.3,21
ALL,498,481,374,361,75,0.307935,0.430801,1.162277,0.85,0.612188,0.79246,0.742972,1.389528,0.889039,0.280932,0.48,0.65,0.55,0.35,2.5,0.35,22
O0,128,121,128,121,25,,,0.362375,,1.0,,,0.299402,,0.345439,0.48,0.65,0.55,0.35,2.5,0.35,22
O1,124,120,0,0,0,-0.009813,-0.018974,1.367352,0.833333,,,,,,,0.48,0.65,0.55,0.35,2.5,0.35,22
O2,124,120,124,120,25,0.181555,0.185124,1.449939,0.841667,0.475,0.730528,0.784615,2.045716,0.88336,0.258879,0.48,0.65,0.55,0.35,2.5,0.35,22
O3,122,120,122,120,25,0.186233,0.209869,1.476107,0.875,0.458333,0.748977,0.75,1.823466,0.948471,0.235666,0.48,0.65,0.55,0.35,2.5,0.35,22
ALL,498,481,374,361,75,0.307506,0.429927,1.163018,0.85,0.612188,0.79246,0.742972,1.389528,0.889039,0.280932,0.48,0.65,0.55,0.35,3.5,0.3,23
O0,128,121,128,121,25,,,0.362375,,1.0,,,0.299402,,0.345439,0.48,0.65,0.55,0.35,3.5,0.3,23
O1,124,120,0,0,0,-0.012182,-0.024891,1.370323,0.833333,,,,,,,0.48,0.65,0.55,0.35,3.5,0.3,23
O2,124,120,124,120,25,0.181555,0.185124,1.449939,0.841667,0.475,0.730528,0.784615,2.045716,0.88336,0.258879,0.48,0.65,0.55,0.35,3.5,0.3,23
O3,122,120,122,120,25,0.186233,0.209869,1.476107,0.875,0.458333,0.748977,0.75,1.823466,0.948471,0.235666,0.48,0.65,0.55,0.35,3.5,0.3,23
ALL,498,481,374,361,75,0.307555,0.429782,1.162959,0.85,0.612188,0.79246,0.742972,1.389528,0.889039,0.280932,0.48,0.65,0.55,0.35,3.5,0.35,24
O0,128,121,128,121,25,,,0.362375,,1.0,,,0.299402,,0.345439,0.48,0.65,0.55,0.35,3.5,0.35,24
O1,124,120,0,0,0,-0.011802,-0.026009,1.370085,0.833333,,,,,,,0.48,0.65,0.55,0.35,3.5,0.35,24
O2,124,120,124,120,25,0.181555,0.185124,1.449939,0.841667,0.475,0.730528,0.784615,2.045716,0.88336,0.258879,0.48,0.65,0.55,0.35,3.5,0.35,24
O3,122,120,122,120,25,0.186233,0.209869,1.476107,0.875,0.458333,0.748977,0.75,1.823466,0.948471,0.235666,0.48,0.65,0.55,0.35,3.5,0.35,24
ALL,498,481,374,361,75,0.316754,0.432033,1.155902,0.85,0.614958,0.790915,0.725839,1.352973,0.905409,0.27671,0.48,1.25,0.1,0.25,2.5,0.3,25
O0,128,121,128,121,25,,,0.356291,,1.0,,,0.304933,,0.339799,0.48,1.25,0.1,0.25,2.5,0.3,25
O1,124,120,0,0,0,-0.013601,-0.017619,1.358784,0.833333,,,,,,,0.48,1.25,0.1,0.25,2.5,0.3,25
O2,124,120,124,120,25,0.202886,0.193305,1.448321,0.841667,0.475,0.731979,0.756154,1.990161,0.912687,0.250218,0.48,1.25,0.1,0.25,2.5,0.3,25
O3,122,120,122,120,25,0.187334,0.212549,1.466875,0.875,0.466667,0.742194,0.743846,1.763825,0.946126,0.237443,0.48,1.25,0.1,0.25,2.5,0.3,25
ALL,498,481,374,361,75,0.316781,0.431941,1.156266,0.85,0.614958,0.790915,0.725839,1.352973,0.905409,0.27671,0.48,1.25,0.1,0.25,2.5,0.35,26
O0,128,121,128,121,25,,,0.356291,,1.0,,,0.304933,,0.339799,0.48,1.25,0.1,0.25,2.5,0.35,26
O1,124,120,0,0,0,-0.012839,-0.018737,1.360242,0.833333,,,,,,,0.48,1.25,0.1,0.25,2.5,0.35,26
O2,124,120,124,120,25,0.202886,0.193305,1.448321,0.841667,0.475,0.731979,0.756154,1.990161,0.912687,0.250218,0.48,1.25,0.1,0.25,2.5,0.35,26
O3,122,120,122,120,25,0.187334,0.212549,1.466875,0.875,0.466667,0.742194,0.743846,1.763825,0.946126,0.237443,0.48,1.25,0.1,0.25,2.5,0.35,26
ALL,498,481,374,361,75,0.316615,0.431154,1.156181,0.85,0.614958,0.790915,0.725839,1.352973,0.905409,0.27671,0.48,1.25,0.1,0.25,3.5,0.3,27
O0,128,121,128,121,25,,,0.356291,,1.0,,,0.304933,,0.339799,0.48,1.25,0.1,0.25,3.5,0.3,27
O1,124,120,0,0,0,-0.014443,-0.024043,1.359902,0.833333,,,,,,,0.48,1.25,0.1,0.25,3.5,0.3,27
O2,124,120,124,120,25,0.202886,0.193305,1.448321,0.841667,0.475,0.731979,0.756154,1.990161,0.912687,0.250218,0.48,1.25,0.1,0.25,3.5,0.3,27
O3,122,120,122,120,25,0.187334,0.212549,1.466875,0.875,0.466667,0.742194,0.743846,1.763825,0.946126,0.237443,0.48,1.25,0.1,0.25,3.5,0.3,27
ALL,498,481,374,361,75,0.316642,0.431062,1.156545,0.85,0.614958,0.790915,0.725839,1.352973,0.905409,0.27671,0.48,1.25,0.1,0.25,3.5,0.35,28
O0,128,121,128,121,25,,,0.356291,,1.0,,,0.304933,,0.339799,0.48,1.25,0.1,0.25,3.5,0.35,28
O1,124,120,0,0,0,-0.013679,-0.025161,1.36136,0.833333,,,,,,,0.48,1.25,0.1,0.25,3.5,0.35,28
O2,124,120,124,120,25,0.202886,0.193305,1.448321,0.841667,0.475,0.731979,0.756154,1.990161,0.912687,0.250218,0.48,1.25,0.1,0.25,3.5,0.35,28
O3,122,120,122,120,25,0.187334,0.212549,1.466875,0.875,0.466667,0.742194,0.743846,1.763825,0.946126,0.237443,0.48,1.25,0.1,0.25,3.5,0.35,28
ALL,498,481,374,361,75,0.31649,0.431579,1.160665,0.85,0.614958,0.781145,0.723143,1.375945,0.906201,0.276511,0.48,1.25,0.1,0.3,2.5,0.3,29
O0,128,121,128,121,25,,,0.356836,,1.0,,,0.307569,,0.34009,0.48,1.25,0.1,0.3,2.5,0.3,29
O1,124,120,0,0,0,-0.010868,-0.015244,1.363517,0.833333,,,,,,,0.48,1.25,0.1,0.3,2.5,0.3,29
O2,124,120,124,120,25,0.205024,0.19259,1.456065,0.841667,0.475,0.721019,0.749231,2.02733,0.91358,0.248904,0.48,1.25,0.1,0.3,2.5,0.3,29
O3,122,120,122,120,25,0.186502,0.209973,1.47294,0.875,0.466667,0.732208,0.740769,1.792937,0.947996,0.237865,0.48,1.25,0.1,0.3,2.5,0.3,29
ALL,498,481,374,361,75,0.316506,0.43151,1.161234,0.85,0.614958,0.781145,0.723143,1.375945,0.906201,0.276511,0.48,1.25,0.1,0.3,2.5,0.35,30
